au_id,name,gender
au1,"Carl Jonas Love Almqvist",M
au2,"Fredrika Bremer",F
au3,"August Strindberg",M
au4,"Sven Lindqvist",M
au5,"Selma Lagerlöf",F
au6,"Elin Wägner",F
au7,"Inger Edelfeldt",F
au8,"Henrika Andersson",F
au9,"Sophie Von Knorring",F
au10,"Emilie Flygare-Carlén",F
au11,"Per Hallström",M
au12,"Per Wästberg",M
au13,"Solveig Von Schoultz",F
au14,"Fredrika Charlotta Runeberg",F
au15,"Hans Gustaf Rålamb",M
au16,"Jacob Wallenberg",M
au17,"Gösta Oswald",M
au18,"Tor Hedberg",M
au19,"Väinö Vilhelm Järner",M
au20,"Clas Livijn",M
au21,"Jarl Hemmer",M
au22,"Tito Colliander",M
au23,"Verner Von Heidenstam",M
au24,"Hjalmar Bergman",M
au25,"Sven Lidman",M
au26,"Mikael Lybeck",M
